,NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N,D5C,D5N,D6C,D6N
0,Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil e Unidade da Federação (Código),Brasil e Unidade da Federação,Variável (Código),Variável,Trimestre (Código),Trimestre,Referência temporal (Código),Referência temporal,Tipo de rebanho bovino (Código),Tipo de rebanho bovino,Tipo de inspeção (Código),Tipo de inspeção
127,1,Brasil,2,Percentual,34.02,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115233,No 1º mês,55,Bois,111738,Estadual
128,1,Brasil,2,Percentual,43.10,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115233,No 1º mês,55,Bois,111739,Municipal
129,1,Brasil,2,Percentual,92.25,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115233,No 1º mês,56,Vacas,118225,Total
130,1,Brasil,2,Percentual,16.83,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115233,No 1º mês,56,Vacas,111737,Federal
131,1,Brasil,2,Percentual,33.48,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115233,No 1º mês,56,Vacas,111738,Estadual
132,1,Brasil,2,Percentual,41.94,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115233,No 1º mês,56,Vacas,111739,Municipal
133,1,Brasil,2,Percentual,37.58,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115233,No 1º mês,111734,Novilhos,118225,Total
134,1,Brasil,2,Percentual,3.12,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115233,No 1º mês,111734,Novilhos,111737,Federal
135,1,Brasil,2,Percentual,11.22,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115233,No 1º mês,111734,Novilhos,111738,Estadual
136,1,Brasil,2,Percentual,23.24,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115233,No 1º mês,111734,Novilhos,111739,Municipal
137,1,Brasil,2,Percentual,52.54,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115233,No 1º mês,111735,Novilhas,118225,Total
138,1,Brasil,2,Percentual,9.80,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115233,No 1º mês,111735,Novilhas,111737,Federal
139,1,Brasil,2,Percentual,16.83,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115233,No 1º mês,111735,Novilhas,111738,Estadual
140,1,Brasil,2,Percentual,25.91,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115233,No 1º mês,111735,Novilhas,111739,Municipal
141,1,Brasil,2,Percentual,...,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115233,No 1º mês,57,Vitelos e vitelas,118225,Total
142,1,Brasil,2,Percentual,...,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115233,No 1º mês,57,Vitelos e vitelas,111737,Federal
