,NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N
141,3,Unidade da Federação,2,Percentual,100.00,15,Pará,1002417,"Quantidade total de couro cru inteiro de bovino, adquirido e recebido de terceiros para curtimento - percentual do total geral",202503,3º trimestre 2025,115236,Total do trimestre
142,3,Unidade da Federação,2,Percentual,34.67,15,Pará,1002417,"Quantidade total de couro cru inteiro de bovino, adquirido e recebido de terceiros para curtimento - percentual do total geral",202503,3º trimestre 2025,115233,No 1º mês
143,3,Unidade da Federação,2,Percentual,32.67,15,Pará,1002417,"Quantidade total de couro cru inteiro de bovino, adquirido e recebido de terceiros para curtimento - percentual do total geral",202503,3º trimestre 2025,115234,No 2º mês
144,3,Unidade da Federação,2,Percentual,32.66,15,Pará,1002417,"Quantidade total de couro cru inteiro de bovino, adquirido e recebido de terceiros para curtimento - percentual do total geral",202503,3º trimestre 2025,115235,No 3º mês
145,3,Unidade da Federação,1020,Unidades,...,16,Amapá,151,Número de informantes,202503,3º trimestre 2025,115236,Total do trimestre
146,3,Unidade da Federação,1020,Unidades,...,16,Amapá,151,Número de informantes,202503,3º trimestre 2025,115233,No 1º mês
147,3,Unidade da Federação,1020,Unidades,...,16,Amapá,151,Número de informantes,202503,3º trimestre 2025,115234,No 2º mês
148,3,Unidade da Federação,1020,Unidades,...,16,Amapá,151,Número de informantes,202503,3º trimestre 2025,115235,No 3º mês
149,3,Unidade da Federação,2,Percentual,...,16,Amapá,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115236,Total do trimestre
150,3,Unidade da Federação,2,Percentual,...,16,Amapá,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115233,No 1º mês
151,3,Unidade da Federação,2,Percentual,...,16,Amapá,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115234,No 2º mês
152,3,Unidade da Federação,2,Percentual,...,16,Amapá,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115235,No 3º mês
153,3,Unidade da Federação,1020,Unidades,...,16,Amapá,623,Quantidade de couro cru inteiro de bovino recebido de terceiros para curtimento,202503,3º trimestre 2025,115236,Total do trimestre
154,3,Unidade da Federação,1020,Unidades,...,16,Amapá,623,Quantidade de couro cru inteiro de bovino recebido de terceiros para curtimento,202503,3º trimestre 2025,115233,No 1º mês
155,3,Unidade da Federação,1020,Unidades,...,16,Amapá,623,Quantidade de couro cru inteiro de bovino recebido de terceiros para curtimento,202503,3º trimestre 2025,115234,No 2º mês
156,3,Unidade da Federação,1020,Unidades,...,16,Amapá,623,Quantidade de couro cru inteiro de bovino recebido de terceiros para curtimento,202503,3º trimestre 2025,115235,No 3º mês
157,3,Unidade da Federação,2,Percentual,...,16,Amapá,1000623,Quantidade de couro cru inteiro de bovino recebido de terceiros para curtimento - percentual do total geral,202503,3º trimestre 2025,115236,Total do trimestre
158,3,Unidade da Federação,2,Percentual,...,16,Amapá,1000623,Quantidade de couro cru inteiro de bovino recebido de terceiros para curtimento - percentual do total geral,202503,3º trimestre 2025,115233,No 1º mês
159,3,Unidade da Federação,2,Percentual,...,16,Amapá,1000623,Quantidade de couro cru inteiro de bovino recebido de terceiros para curtimento - percentual do total geral,202503,3º trimestre 2025,115234,No 2º mês
